question	dimension
You regularly make new friends.	E/I
Complex and novel ideas excite you more than simple and straightforward ones.	S/N
You usually find factual arguments more persuasive than emotional appeals.	T/F
Your living and working spaces are clean and organized.	J/P
You usually stay calm, even under a lot of pressure.	J/P
You find the idea of networking or promoting yourself to strangers very daunting.	E/I
You prioritize and plan tasks effectively, often completing them well before the deadline.	J/P
Numbers and data are more persuasive to you than people’s stories and emotions.	T/F
You like to use organizing tools like schedules and lists.	J/P
Even a small mistake can cause you to doubt your overall abilities and knowledge.	J/P
You feel comfortable just walking up to someone you find interesting and striking up a conversation.	E/I
You are not too interested in discussions about various interpretations of creative works.	S/N
You prioritize facts over people's feelings when determining a course of action.	T/F
You often allow the day to unfold without any schedule at all.	J/P
You rarely worry about whether you make a good impression on people you meet.	E/I
You enjoy participating in team-based activities.	E/I
You enjoy experimenting with new and untested approaches.	S/N
You prioritize being completely honest over being sensitive.	T/F
You actively seek out new experiences and knowledge areas to explore.	S/N
You are prone to worrying that things will take a turn for the worse.	J/P
You enjoy solitary hobbies or activities more than group ones.	E/I
You cannot imagine yourself writing fictional stories for a living.	S/N
You favor efficiency in decisions, even if it means disregarding some emotional aspects.	T/F
You prefer to do your chores before allowing yourself to relax.	J/P
In disagreements, you prioritize proving your point over preserving the feelings of others.	T/F
You usually wait for others to introduce themselves first at social gatherings.	E/I
Your mood can change very quickly.	J/P
You are not easily swayed by emotional arguments.	T/F
You often end up doing things at the last possible moment.	J/P
You enjoy debating ethical dilemmas.	S/N
You usually prefer to be around others rather than on your own.	E/I
You become bored or lose interest when the discussion gets highly theoretical.	S/N
When facts and feelings conflict, you usually prioritize the facts over your feelings.	T/F
You find it challenging to maintain a consistent work or study schedule.	J/P
You rarely second-guess the choices that you have made.	J/P
Your friends would describe you as lively and outgoing.	E/I
You are drawn to various forms of creative expression, such as writing.	S/N
You usually base your choices on objective facts rather than emotional impressions.	T/F
You like to have a to-do list for each day.	J/P
You rarely feel insecure.	J/P
You avoid making phone calls.	E/I
You enjoy exploring unfamiliar ideas and viewpoints.	S/N
You can easily connect with people you have just met.	E/I
If your plans are interrupted, your top priority is to get back on track as soon as possible.	J/P
You are still bothered by mistakes that you made a long time ago.	J/P
You are not too interested in discussing theories on what the world could look like in the future.	S/N
Your emotions control you more than you control them.	J/P
When making decisions, you focus more on what is most logical or efficient than on how the affected people might feel.	T/F
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.	J/P
When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.	J/P
You would love a job that requires you to work alone most of the time.	E/I
You believe that pondering abstract philosophical questions is a waste of time.	S/N
You feel more drawn to busy, bustling atmospheres than to quiet, intimate places.	E/I
If a decision is supported by logical reasoning, you often act on it without needing further emotional validation.	T/F
You often feel overwhelmed.	J/P
You complete things methodically without skipping over any steps.	J/P
You prefer tasks that require you to come up with creative solutions rather than follow concrete steps.	S/N
You are more likely to rely on logical reasoning than emotional intuition when making a choice.	T/F
You struggle with deadlines.	J/P
You feel confident that things will work out for you.	J/P
